전략명,1군,2군,3군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
1군(1) / 2군(3) / 3군(5~6) 삼복,1,3,5~6,2,1837,1837,102,0.05552531301034295,367400.0,792700.0,425300.0,2.1575939031028852,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250221 8R (2, 10, 12) @709.0 | 부산 20250309 3R (10, 8, 11) @30.0"
1군(1) / 2군(3) / 3군(4~6) 삼복,1,3,4~6,3,1837,1837,178,0.09689711486118671,551100.0,1075500.0,524400.0,1.9515514425694067,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
1군(1) / 2군(3) / 3군(4~5) 삼복,1,3,4~5,2,1837,1837,132,0.0718562874251497,367400.0,679500.0,312100.0,1.8494828524768645,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
"1군(1) / 2군(3) / 3군(4,6) 삼복",1,3,"4,6",2,1837,1837,122,0.06641262928688078,367400.0,678800.0,311400.0,1.8475775721284704,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 5R (11, 9, 6) @101.0"
1군(1) / 2군(3) / 3군(5~7) 삼복,1,3,5~7,3,1837,1837,132,0.0718562874251497,551100.0,994800.0,443700.0,1.8051170386499729,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250221 8R (2, 10, 12) @709.0 | 부산 20250309 3R (10, 8, 11) @30.0"
"1군(1~2,7) / 2군(3) / 3군(5) 삼복","1~2,7",3,5,3,1837,1837,109,0.05933587370713119,551100.0,974300.0,423200.0,1.7679187080384686,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250309 3R (10, 8, 11) @30.0 | 부산 20250323 2R (2, 11, 8) @35.0"
"1군(1) / 2군(2,5~6) / 3군(3) 삼복",1,"2,5~6",3,3,1837,1837,200,0.10887316276537834,551100.0,958500.0,407400.0,1.7392487751769188,"부산 20250105 5R (7, 8, 11) @25.0 | 부산 20250110 8R (7, 3, 8) @41.0 | 부산 20250124 8R (2, 4, 7) @69.0"
1군(1) / 2군(3) / 3군(4~7) 삼복,1,3,4~7,4,1837,1837,208,0.11322808927599347,734800.0,1277600.0,542800.0,1.738704409363092,"부산 20250110 6R (10, 6, 4) @120.0 | 부산 20250117 6R (7, 6, 2) @26.0 | 부산 20250209 3R (12, 4, 8) @95.0"
1군(1~2) / 2군(3) / 3군(5) 삼복,1~2,3,5,2,1837,1837,101,0.054980947196516056,367400.0,636200.0,268800.0,1.7316276537833424,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250309 3R (10, 8, 11) @30.0 | 부산 20250323 2R (2, 11, 8) @35.0"
"1군(1,7) / 2군(3) / 3군(5~6) 삼복","1,7",3,5~6,4,1837,1837,119,0.06477953184540011,734800.0,1259000.0,524200.0,1.7133913990201415,"부산 20250209 3R (12, 4, 8) @95.0 | 부산 20250216 3R (7, 6, 11) @638.0 | 부산 20250221 8R (2, 10, 12) @709.0"
