전략명,1착군,2착군,3착군,구멍수,적용경주수,전체기준경주수,적중수,적중률,총베팅액,총환수액,이익금,환수율,적중예시
"1착(1,4) / 2착(2~3) / 3착(5~6) 삼쌍","1,4",2~3,5~6,8,1837,1837,86,0.046815459989112684,1469600.0,3425200.0,1955600.0,2.3307022318998367,"부산 20250221 9R (3, 8, 10) @210.0 | 부산 20250309 3R (10, 8, 11) @440.0 | 부산 20250321 8R (3, 5, 2) @58.0"
"1착(1,7) / 2착(2,4) / 3착(3,6) 삼쌍","1,7","2,4","3,6",8,1837,1837,74,0.040283070223189985,1469600.0,3401000.0,1931400.0,2.3142351660315734,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 4R (11, 2, 1) @258.0"
"1착(1,4) / 2착(2,5~6,8) / 3착(3) 삼쌍","1,4","2,5~6,8",3,8,1837,1837,71,0.038649972781709306,1469600.0,3253900.0,1784300.0,2.2141399020141534,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250105 5R (7, 8, 11) @120.0"
"1착(1,4,7) / 2착(2,5~6,8) / 3착(3) 삼쌍","1,4,7","2,5~6,8",3,12,1837,1837,78,0.04246053347849755,2204400.0,4775600.0,2571200.0,2.166394483759753,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250105 5R (7, 8, 11) @120.0"
"1착(1,4) / 2착(5~6,8) / 3착(2~3) 삼쌍","1,4","5~6,8",2~3,12,1837,1837,84,0.0457267283614589,2204400.0,4501100.0,2296700.0,2.0418708038468516,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250309 4R (8, 6, 3) @204.0"
"1착(1,4) / 2착(2,5~8) / 3착(3) 삼쌍","1,4","2,5~8",3,10,1837,1837,82,0.04463799673380512,1837000.0,3731300.0,1894300.0,2.0311921611322807,"부산 20250103 5R (5, 3, 12) @2815.0 | 부산 20250103 8R (10, 6, 2) @3449.0 | 부산 20250105 5R (7, 8, 11) @120.0"
"1착(2,4,6) / 2착(1) / 3착(3,5,8) 삼쌍","2,4,6",1,"3,5,8",9,1837,1837,81,0.04409363091997823,1653300.0,3356600.0,1703300.0,2.030242545212605,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250223 4R (9, 3, 2) @73.0"
"1착(2,4,6) / 2착(1) / 3착(3,5,7) 삼쌍","2,4,6",1,"3,5,7",9,1837,1837,78,0.04246053347849755,1653300.0,3356200.0,1702900.0,2.0300006048509043,"부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250328 8R (4, 8, 6) @2360.0 | 부산 20250425 2R (5, 6, 7) @121.0"
"1착(1,7) / 2착(2,4~5) / 3착(3,6) 삼쌍","1,7","2,4~5","3,6",12,1837,1837,95,0.051714752313554706,2204400.0,4438000.0,2233600.0,2.013246234803121,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 4R (11, 2, 1) @258.0"
"1착(1,4) / 2착(2,5) / 3착(3,6) 삼쌍","1,4","2,5","3,6",8,1837,1837,74,0.040283070223189985,1469600.0,2933900.0,1464300.0,1.9963935764833969,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0 | 부산 20250307 8R (7, 8, 1) @190.0"
"1착(2,4,6) / 2착(1) / 3착(3,7~8) 삼쌍","2,4,6",1,"3,7~8",9,1837,1837,72,0.0391943385955362,1653300.0,3293000.0,1639700.0,1.9917740277021714,"부산 20250105 3R (11, 4, 12) @374.0 | 부산 20250214 5R (11, 10, 4) @3721.0 | 부산 20250223 4R (9, 3, 2) @73.0"
"1착(1,4) / 2착(2,5~7) / 3착(3) 삼쌍","1,4","2,5~7",3,8,1837,1837,72,0.0391943385955362,1469600.0,2911600.0,1442000.0,1.9812193794229722,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250126 5R (6, 1, 12) @242.0 | 부산 20250420 6R (9, 10, 8) @62.0"
1착(1) / 2착(5~8) / 3착(2~3) 삼쌍,1,5~8,2~3,8,1837,1837,82,0.04463799673380512,1469600.0,2862800.0,1393200.0,1.948013064779532,"부산 20250418 4R (5, 10, 3) @65.0 | 부산 20250420 5R (12, 8, 4) @53.0 | 부산 20250420 6R (9, 10, 8) @62.0"
"1착(1,7) / 2착(2,4) / 3착(3,5~6) 삼쌍","1,7","2,4","3,5~6",12,1837,1837,104,0.056614044637996734,2204400.0,4288100.0,2083700.0,1.9452458718925785,"부산 20250105 5R (7, 8, 11) @120.0 | 부산 20250110 5R (11, 8, 5) @505.0 | 부산 20250117 4R (11, 2, 1) @258.0"
